"","symbol","mean","stddev"
"287","MERTK",0.0128980201532402,0.104204141830873
"288","MT1G",0.375991477872259,0.92728827323741
"289","SPTBN5",0.00330783328193838,0.0473822926231363
"290","TRPC5",0.00754365961770094,0.0842295857257076
"291","TM4SF18",0.0161784251977275,0.144125530105346
"292","ASPN",0.00329908240622359,0.0692668214809565
"293","FABP4",0.0276413859323178,0.269907280094106
"294","KRT6B",0.0129308770867244,0.149114269539611
"295","CYP2C19",0.000351296948703355,0.0147758948992359
"296","SELE",0.00457141007547809,0.102513303482609
"297","PRODH2",0.00250831899432169,0.0511433330093555
"298","GPX3",1.31496130081944,1.35298731866954
"299","KRT1",0.00510970811641122,0.107064026677824
"300","DLK1",0.353944434124147,0.925061740675755
"301","CYBB",0.0113723782414623,0.149077227682107
"302","FN1",0.189599084985693,0.674276802100376
"303","FES",0.017950367240736,0.14569094363822
"304","PTGER2",0.00700947433209407,0.083035692433042
"305","PLAU",0.16782544811652,0.583630646296305
"306","KHDRBS2",0.00303020299160338,0.0594781128119677
"307","LCE1E",0.000340813163169615,0.0161076116692908
"308","FREM1",0.00406276880196872,0.0573505018405981
"309","CPXM1",0.00437441796816611,0.0691483295539973
"310","ACY3",0.0109493897567181,0.0881526287094755
"311","TET3",0.0312992920086426,0.165814626634283
"312","TSPAN8",0.243561766252112,0.689023489096651
"313","BCAT1",0.140032732001965,0.455979972266937
"314","HAS2",0.00958038084769587,0.116457353635805
"315","CEL",0.161359400201719,0.569720783267538
"316","SLC30A8",1.07913902926714,1.25515101769394
"317","TMPRSS13",0.0107836199705626,0.0941385378091264
"318","KCNS3",0.0231405339137937,0.142796631173801
"319","KRT23",0.0975900463195971,0.417917614477958
"320","SHISA6",0.0179707866586782,0.134908858903647
"321","ZNF442",0.0191979295297953,0.118113784462428
"322","GPRC5A",0.0895782470789819,0.364808291798399
"323","KRT7",0.556017765738607,1.04672279750159
"324","CBX2",0.012305235233544,0.111884847878153
"325","LTBP1",0.0893467939187859,0.352716943809891
"326","HSD11B1",0.0247015048165496,0.198861396240271
"327","CYP2C9",0.00553486142109226,0.0765235309220447
"328","MUC1",0.343787074947407,0.784591732636682
"329","PKD1L1",0.0012657705618093,0.0357085716026653
"330","OR52N2",0.000909238750203127,0.0224317467589688
"331","COL17A1",0.00141093996246371,0.0353913675046537
"332","FOXL1",0.00326412812382769,0.06010083310911
"333","CD34",0.0247320803327722,0.221534937958915
"334","RBMS3",0.0282457711379262,0.189743986129958
"335","AGTR1",0.0239587491944393,0.163443619590832
"336","AOC3",0.00335769714691214,0.0609557083882723
"337","SERPINB2",0.0564964564977091,0.371548721647707
"338","IFITM3",0.815600610107504,1.19990190570009
"339","FLRT2",0.14947701993794,0.449244299531292
"340","LRRC15",0.000985461134746281,0.0334223807602039
"341","MEPE",0.000721053603761855,0.0252921574277572
"342","ZKSCAN4",0.0375998011868461,0.204778180995924
"343","LDHA",0.869520381867757,0.96511378212467
"344","BUB1",0.00737192314405731,0.0873845544954131
"345","RNF112",0.002835826339283,0.0604454275656609
"346","TRPV6",0.0843375887076879,0.328037982719853
"347","XIST",0.259223136753367,0.577396141974373
"348","SLFN11",0.0180808289541153,0.141413127733601
"349","FHL5",0.00154765595600333,0.0432431614044884
"350","CRNDE",0.0152690443995443,0.107216688995897
"351","CCR1",0.00724532187541055,0.106445890188836
"352","IKZF1",0.00419493834001541,0.078221621086785
"353","ITPRIPL1",0.00445817186549308,0.0751652987293401
"354","FAM71F1",0.0009371227570202,0.0240137158051847
"355","IL32",0.541568960850508,1.04217935097061
"356","CAPN14",0.000784591174650224,0.0253620894865985
"357","KDR",0.0637764552776636,0.427545777513909
"358","A2M",0.0439695158786788,0.255107006000956
"359","HSPA1L",0.0184099001553831,0.13108521109767
"360","ALDOB",0.225878542505531,0.700772403346941
"361","CYTIP",0.0134629372714447,0.170576667553294
"362","BMP6",0.00508383452565444,0.0810202206383728
"363","GPR65",0.00754135075694738,0.100841040341393
"364","SLC4A4",0.237478510328337,0.622265388818666
"365","ANXA2",1.38203257860552,1.22999201584077
"366","ADH6",0.0052327743578874,0.0752898597544909
"367","DCSTAMP",0.00292122958409895,0.0514452992974209
"368","ABHD1",0.00406266513163028,0.0659851889802689
"369","BTNL3",0.000798947654183884,0.0237510660781376
"370","THBS2",0.0545671911252461,0.33323967734208
"371","PCSK1",0.716038464812475,1.07846083087194
"372","ZNF300",0.0159304003335497,0.113113534403221
"373","SPATS1",0.00127567415499864,0.0370500121972379
"374","INSRR",0.0143141888664311,0.145265401587664
"375","PRDM1",0.0464349202546146,0.28438071999605
"376","MEGF10",0.000497695361231619,0.01769659949882
"377","VGLL1",0.00251419865461438,0.0448468025671943
"378","ABCC8",0.967294380037303,1.14298588090462
"379","PDGFD",0.060052618206937,0.264018272858963
"380","DDR2",0.0427889543532997,0.243327465680392
"381","COL15A1",0.108175643061795,0.499628934907661
"382","CD8A",0.00371524780277953,0.0600991065499649
"383","VMP1",0.764427285578405,0.814262835575099
